year,numOut,numExecs,numVCs,startupHadFinancing,financingRoundNumer,cik1,cik2,cik3,cik4
2005,5,1,2,1,1,6948,,,
2006,5,1,2,0,,6948,,,
2007,3,0,2,0,,6948,,,
2008,3,0,2,0,,6948,,,
2009,3,0,2,0,,6948,,,
2010,3,0,2,0,,6948,,,
2011,3,0,2,0,,6948,,,
2012,3,0,3,0,,6948,,,
2013,3,0,3,0,,6948,,,
2014,3,0,3,0,,6948,,,
2015,3,0,3,0,,6948,,,
2016,3,0,3,0,,6948,,,
2017,3,0,3,0,,6948,,,
2008,2,1,2,1,1,81050,,,
2009,2,1,2,0,,81050,,,
2010,2,1,2,0,,81050,,,
2011,2,1,2,0,,81050,,,
2014,0,1,0,1,1,154571,1545714,,
2015,0,1,0,0,,154571,1545714,,
2012,1,0,2,1,1,708717,,,
2013,3,1,2,0,,708717,,,
2014,3,2,2,0,,708717,,,
2015,3,1,2,0,,708717,,,
2016,3,1,2,1,2,708717,,,
2017,3,1,2,0,,708717,,,
2003,0,1,0,1,1,741715,,,
2004,0,1,0,0,,741715,,,
2005,0,1,0,0,,741715,,,
2004,0,2,2,1,1,759596,,,
2005,1,3,2,0,,759596,,,
2006,1,3,2,1,2,759596,,,
2007,2,2,2,0,,759596,,,
2008,2,2,2,1,3,759596,,,
2009,2,2,1,0,,759596,,,
2010,1,2,1,0,,759596,,,
2011,1,2,1,0,,759596,,,
2012,1,2,1,0,,759596,,,
2013,1,2,1,0,,759596,,,
2014,1,2,1,0,,759596,,,
2015,1,2,1,0,,759596,,,
2011,3,3,0,1,1,771856,,,
2012,3,3,1,0,,771856,,,
2013,3,2,2,0,,771856,,,
2014,3,2,2,0,,771856,,,
2015,3,2,2,1,2,771856,,,
2016,3,2,2,0,,771856,,,
2017,3,2,2,0,,771856,,,
2005,0,1,0,1,1,780127,,,
2006,0,1,0,1,2,780127,,,
2007,0,1,1,1,3,780127,,,
2008,0,1,2,0,,780127,,,
2009,0,1,2,0,,780127,,,
2010,0,1,2,0,,780127,,,
2011,0,1,2,0,,780127,,,
2012,0,1,2,0,,780127,,,
2004,0,1,0,1,1,786618,,,
2005,0,1,0,1,2,786618,,,
2006,0,2,0,1,3,786618,,,
2007,1,4,0,1,4,786618,,,
2008,1,3,0,0,,786618,,,
2006,1,1,0,1,1,790183,,,
2007,1,1,1,1,2,790183,,,
2008,1,1,1,1,3,790183,,,
2009,1,1,2,0,,790183,,,
2010,1,1,4,1,4,790183,,,
2011,1,1,4,1,5,790183,,,
2012,1,1,4,1,6,790183,,,
2013,1,1,5,1,7,790183,,,
2014,1,1,6,0,,790183,,,
2015,1,1,6,1,8,790183,,,
2016,1,1,6,0,,790183,,,
2017,1,1,6,0,,790183,,,
2005,0,2,2,1,1,810094,,,
2006,0,2,2,0,,810094,,,
2007,0,2,2,0,,810094,,,
2007,1,1,2,1,1,827871,,,
2008,1,2,2,1,2,827871,,,
2009,1,2,2,0,,827871,,,
2010,1,1,2,0,,827871,,,
2011,1,1,2,1,3,827871,,,
2012,1,1,3,0,,827871,,,
2013,1,1,4,1,4,827871,,,
2014,1,1,0,0,,827871,,,
2007,2,2,2,1,1,876200,,,
2008,2,2,2,0,,876200,,,
2009,0,1,4,1,2,876200,,,
2010,1,1,3,0,,876200,,,
2011,1,1,4,1,3,876200,,,
2012,0,0,3,1,4,876200,,,
2013,2,1,3,0,,876200,,,
2014,2,1,3,0,,876200,,,
2015,2,1,3,0,,876200,,,
2006,0,2,0,1,1,895123,,,
2007,0,2,0,0,,895123,,,
2008,0,2,0,0,,895123,,,
2009,0,2,0,0,,895123,,,
2010,0,2,0,0,,895123,,,
2011,0,2,0,0,,895123,,,
2004,0,1,0,1,1,918066,,,
2005,0,1,0,0,,918066,,,
2016,3,1,0,1,1,945692,,,
2017,3,1,0,1,2,945692,,,
2005,1,1,2,1,1,1010064,,,
2006,1,1,2,0,,1010064,,,
2007,1,1,2,0,,1010064,,,
2008,1,0,1,0,,1010064,,,
2009,1,2,2,1,2,1010064,,,
2010,1,2,2,0,,1010064,,,
2011,1,2,2,0,,1010064,,,
2012,1,2,2,0,,1010064,,,
2013,1,2,2,0,,1010064,,,
2014,1,2,2,0,,1010064,,,
2010,0,2,2,1,1,1015117,1499362,,
2011,0,2,2,0,,1015117,1499362,,
2004,4,1,2,1,1,1015526,,,
2005,4,1,1,0,,1015526,,,
2006,3,1,1,1,2,1015526,,,
2007,3,1,1,0,,1015526,,,
2008,3,2,3,1,3,1015526,,,
2009,2,1,5,1,4,1015526,,,
2010,2,1,5,1,5,1015526,,,
2011,2,1,5,0,,1015526,,,
2012,2,1,5,0,,1015526,,,
2013,2,1,2,1,6,1015526,,,
2005,0,1,3,1,1,1017159,,,
2006,0,1,3,1,2,1017159,,,
2007,0,1,3,0,,1017159,,,
2008,0,1,3,0,,1017159,,,
2009,0,1,3,0,,1017159,,,
2010,0,1,3,1,3,1017159,,,
2011,0,1,3,0,,1017159,,,
2012,0,1,4,0,,1017159,,,
2013,0,1,4,0,,1017159,,,
2014,0,1,4,0,,1017159,,,
2015,0,1,0,1,1,1017655,,,
2016,0,1,0,0,,1017655,,,
2017,0,1,0,0,,1017655,,,
2006,3,1,2,1,1,1022791,,,
2007,3,1,2,0,,1022791,,,
2008,2,1,2,1,2,1022791,,,
2009,2,1,2,0,,1022791,,,
2010,2,1,2,1,3,1022791,,,
2011,2,1,2,0,,1022791,,,
2012,2,1,3,1,4,1022791,,,
2013,2,1,5,1,5,1022791,,,
2014,2,1,5,1,6,1022791,,,
2015,2,1,5,0,,1022791,,,
2016,2,1,4,1,7,1022791,,,
2017,2,1,4,1,8,1022791,,,
2011,3,2,2,1,1,1027488,,,
2012,6,2,2,1,2,1027488,,,
2013,4,1,2,0,,1027488,,,
2014,4,1,2,0,,1027488,,,
2015,1,1,2,0,,1027488,,,
2016,1,1,2,0,,1027488,,,
2003,0,2,0,1,1,1030487,,,
2004,0,2,1,1,2,1030487,,,
2005,0,1,1,1,3,1030487,,,
2006,0,1,1,0,,1030487,,,
2007,0,1,1,0,,1030487,,,
2008,0,1,3,0,,1030487,,,
2009,0,1,3,1,4,1030487,,,
2010,0,1,3,0,,1030487,,,
2011,0,1,3,0,,1030487,,,
2012,0,1,0,0,,1030487,,,
2004,2,3,0,1,1,1044378,,,
2005,2,1,0,0,,1044378,,,
2006,3,2,0,1,2,1044378,,,
2007,3,2,0,0,,1044378,,,
2008,4,2,0,0,,1044378,,,
2009,3,1,0,0,,1044378,,,
2010,6,1,0,1,3,1044378,,,
2011,6,0,1,0,,1044378,,,
2012,6,0,1,0,,1044378,,,
2013,8,0,1,0,,1044378,,,
2014,5,0,1,0,,1044378,,,
2016,0,1,0,1,1,1054634,,,
2017,0,1,0,0,,1054634,,,
2004,1,2,5,1,1,1062536,,,
2005,1,2,5,1,2,1062536,,,
2006,1,2,5,0,,1062536,,,
2007,1,2,4,0,,1062536,,,
2008,1,2,4,0,,1062536,,,
2009,1,2,4,0,,1062536,,,
2010,1,2,4,0,,1062536,,,
2011,1,2,0,0,,1062536,,,
2004,3,1,0,1,1,1065550,,,
2005,3,1,0,0,,1065550,,,
2006,3,1,0,0,,1065550,,,
2007,3,1,0,0,,1065550,,,
2004,7,2,0,1,1,1071411,,,
2005,7,2,0,0,,1071411,,,
2009,0,1,0,1,1,1072115,,,
2010,0,1,0,0,,1072115,,,
2011,0,1,0,0,,1072115,,,
2012,0,1,0,0,,1072115,,,
2013,0,1,0,0,,1072115,,,
2014,0,1,1,1,2,1072115,,,
2015,0,1,1,0,,1072115,,,
2016,0,1,1,0,,1072115,,,
2004,2,1,6,1,1,1075250,,,
2005,4,1,6,0,,1075250,,,
2006,4,1,5,1,2,1075250,,,
2007,4,1,4,0,,1075250,,,
2008,4,1,4,0,,1075250,,,
2009,4,1,4,0,,1075250,,,
2010,4,1,4,0,,1075250,,,
2011,4,1,1,0,,1075250,,,
2010,0,1,2,1,1,1075701,,,
2011,0,1,2,1,2,1075701,,,
2012,0,1,2,1,3,1075701,,,
2013,0,1,2,0,,1075701,,,
2014,0,1,2,0,,1075701,,,
2004,4,3,3,1,1,1077438,,,
2005,4,1,3,1,2,1077438,,,
2006,4,1,1,0,,1077438,,,
2007,4,1,1,0,,1077438,,,
2008,4,1,1,0,,1077438,,,
2009,4,1,1,0,,1077438,,,
2010,4,1,0,0,,1077438,,,
2002,1,3,3,1,1,1088266,,,
2003,1,3,3,0,,1088266,,,
2004,1,3,3,0,,1088266,,,
2005,1,3,4,0,,1088266,,,
2006,1,3,4,1,2,1088266,,,
2007,1,3,3,0,,1088266,,,
2008,0,3,3,0,,1088266,,,
2009,0,3,3,0,,1088266,,,
2003,0,2,3,1,1,1090459,,,
2004,0,2,3,0,,1090459,,,
2005,0,2,2,1,2,1090459,,,
2006,0,2,2,0,,1090459,,,
2007,0,0,2,0,,1090459,,,
2008,3,1,2,1,3,1090459,,,
2009,3,1,2,0,,1090459,,,
2010,3,1,2,0,,1090459,,,
2011,3,1,2,0,,1090459,,,
2012,3,1,2,0,,1090459,,,
2013,3,1,2,1,4,1090459,,,
2014,3,1,2,0,,1090459,,,
2015,3,1,2,0,,1090459,,,
2006,0,2,3,1,1,1094601,,,
2007,0,2,3,0,,1094601,,,
2006,4,3,1,1,1,1095950,,,
2007,4,0,1,0,,1095950,,,
2008,4,0,1,0,,1095950,,,
2009,4,0,1,0,,1095950,,,
2010,4,0,0,0,,1095950,,,
2011,4,1,0,1,2,1095950,,,
2012,4,1,0,0,,1095950,,,
2013,4,1,0,0,,1095950,,,
2007,0,2,2,1,1,1098113,,,
2008,0,2,2,1,2,1098113,,,
2009,0,1,2,1,3,1098113,,,
2010,0,2,3,1,4,1098113,,,
2011,0,2,3,0,,1098113,,,
2012,0,2,0,0,,1098113,,,
2003,2,1,5,1,1,1099890,,,
2004,2,1,6,1,2,1099890,,,
2005,2,0,6,0,,1099890,,,
2006,2,0,0,0,,1099890,,,
2010,3,1,0,1,1,1100200,,,
2011,3,1,0,0,,1100200,,,
2012,3,1,0,0,,1100200,,,
2005,1,2,2,1,1,1100495,,,
2006,1,2,2,0,,1100495,,,
2007,1,2,2,0,,1100495,,,
2008,1,2,2,0,,1100495,,,
2009,1,2,2,0,,1100495,,,
2010,1,2,2,0,,1100495,,,
2011,1,2,2,0,,1100495,,,
2012,1,2,2,0,,1100495,,,
2013,1,2,2,0,,1100495,,,
2014,1,2,2,0,,1100495,,,
2015,1,2,0,0,,1100495,,,
2003,2,2,0,1,1,1101848,,,
2004,4,2,1,1,2,1101848,,,
2005,4,2,1,0,,1101848,,,
2006,4,2,1,0,,1101848,,,
2007,5,1,1,0,,1101848,,,
2008,5,1,1,0,,1101848,,,
2009,5,1,1,0,,1101848,,,
2010,5,1,1,0,,1101848,,,
2011,3,1,0,0,,1101848,,,
2012,4,1,2,1,3,1101848,,,
2013,4,1,2,0,,1101848,,,
2014,4,1,2,0,,1101848,,,
2017,0,1,0,1,1,1102414,,,
2004,2,2,4,1,1,1107833,,,
2005,1,1,4,0,,1107833,,,
2006,1,0,3,1,2,1107833,,,
2007,1,0,3,0,,1107833,,,
2008,2,1,4,1,3,1107833,,,
2009,2,1,4,0,,1107833,,,
2010,2,1,4,1,4,1107833,,,
2011,2,1,4,1,5,1107833,,,
2012,2,1,4,0,,1107833,,,
2013,2,1,4,0,,1107833,,,
2014,2,1,4,0,,1107833,,,
2015,2,1,4,0,,1107833,,,
2008,0,2,1,1,1,1108434,,,
2009,0,2,1,0,,1108434,,,
2010,0,2,1,0,,1108434,,,
2005,2,3,3,1,1,1108712,,,
2006,2,3,3,0,,1108712,,,
2007,2,3,0,0,,1108712,,,
2014,0,1,0,1,1,1110330,,,
2015,0,1,0,1,2,1110330,,,
2016,0,1,0,1,3,1110330,,,
2017,0,1,0,0,,1110330,,,
2003,3,4,2,1,1,1111406,,,
2004,3,2,2,0,,1111406,,,
2005,4,2,2,1,2,1111406,,,
2006,5,2,2,1,3,1111406,,,
2007,4,2,2,1,4,1111406,,,
2008,3,2,2,1,5,1111406,,,
2009,3,2,2,0,,1111406,,,
2010,4,1,2,1,6,1111406,,,
2011,4,2,2,0,,1111406,,,
2012,4,2,2,0,,1111406,,,
2013,4,2,3,1,7,1111406,,,
2014,4,2,3,0,,1111406,,,
2015,4,2,3,0,,1111406,,,
2008,0,3,1,1,1,1112082,,,
2009,0,3,1,0,,1112082,,,
2010,0,3,1,0,,1112082,,,
2002,3,2,2,1,1,1114503,,,
2003,3,2,2,0,,1114503,,,
2004,3,2,2,0,,1114503,,,
2003,1,2,2,1,1,1114550,,,
2004,1,2,2,0,,1114550,,,
2005,1,2,2,0,,1114550,,,
2011,1,2,3,1,1,1115634,,,
2012,1,2,4,0,,1115634,,,
2013,0,0,4,0,,1115634,,,
2014,0,1,4,1,2,1115634,,,
2015,0,1,4,0,,1115634,,,
2016,0,1,6,1,3,1115634,,,
2017,0,1,7,0,,1115634,,,
2003,0,3,0,1,1,1117068,,,
2004,0,3,1,1,2,1117068,,,
2005,0,3,1,0,,1117068,,,
2006,1,0,1,0,,1117068,,,
2002,0,2,2,1,1,1117480,,,
2003,0,3,2,1,2,1117480,,,
2004,0,1,3,1,3,1117480,,,
2005,1,1,4,0,,1117480,,,
2006,1,1,2,1,4,1117480,,,
2007,1,1,3,1,5,1117480,,,
2008,1,1,3,0,,1117480,,,
2009,1,1,3,1,6,1117480,,,
2010,1,1,3,0,,1117480,,,
2011,1,2,4,1,7,1117480,,,
2012,1,2,5,0,,1117480,,,
2013,1,2,4,0,,1117480,,,
2003,1,2,2,1,1,1118287,,,
2004,1,2,2,0,,1118287,,,
2005,1,2,3,1,2,1118287,,,
2006,1,2,3,1,3,1118287,,,
2007,1,2,3,0,,1118287,,,
2008,1,2,3,1,4,1118287,,,
2009,1,2,4,1,5,1118287,,,
2010,1,2,4,0,,1118287,,,
2011,1,2,4,0,,1118287,,,
2012,1,2,3,0,,1118287,,,
2013,1,2,0,0,,1118287,,,
2004,1,2,2,1,1,1120509,,,
2005,1,2,3,0,,1120509,,,
2006,1,2,3,1,2,1120509,,,
2007,1,1,3,0,,1120509,,,
2008,1,1,1,0,,1120509,,,
2007,2,2,4,1,1,1121199,,,
2008,1,2,4,1,2,1121199,,,
2009,1,2,4,0,,1121199,,,
2010,0,1,4,0,,1121199,,,
2011,3,2,4,0,,1121199,,,
2012,3,3,4,1,3,1121199,,,
2013,3,3,4,0,,1121199,,,
2014,3,3,4,0,,1121199,,,
2015,3,3,4,0,,1121199,,,
2016,3,3,4,0,,1121199,,,
2017,3,3,4,0,,1121199,,,
2004,0,2,0,1,1,1121247,,,
2005,0,2,0,1,2,1121247,,,
2006,0,2,0,0,,1121247,,,
2003,1,3,1,1,1,1122808,,,
2004,1,3,1,1,2,1122808,,,
2005,2,3,1,1,3,1122808,,,
2006,3,1,2,0,,1122808,,,
2007,4,1,2,1,4,1122808,,,
2008,4,1,3,0,,1122808,,,
2009,3,1,3,1,5,1122808,,,
2010,3,1,4,1,6,1122808,,,
2011,2,1,4,0,,1122808,,,
2012,2,1,5,0,,1122808,,,
2013,2,1,2,0,,1122808,,,
2003,0,1,1,1,1,1122844,,,
2004,0,1,1,0,,1122844,,,
2003,3,3,1,1,1,1124311,,,
2004,3,3,1,0,,1124311,,,
2005,3,3,1,1,2,1124311,,,
2006,3,3,2,1,3,1124311,,,
2007,3,3,2,0,,1124311,,,
2008,3,3,3,0,,1124311,,,
2009,3,3,2,0,,1124311,,,
2003,1,1,2,1,1,1124636,,,
2004,1,1,2,0,,1124636,,,
2005,1,1,3,1,2,1124636,,,
2006,1,1,3,1,3,1124636,,,
2007,1,1,3,1,4,1124636,,,
2008,1,1,3,0,,1124636,,,
2009,1,1,3,1,5,1124636,,,
2010,1,1,3,0,,1124636,,,
2011,1,1,3,0,,1124636,,,
2012,1,1,3,1,6,1124636,,,
2013,1,1,0,0,,1124636,,,
2006,2,3,0,1,1,1126927,,,
2007,3,4,0,0,,1126927,,,
2008,3,4,0,0,,1126927,,,
2009,3,4,0,0,,1126927,,,
2010,3,2,0,1,2,1126927,,,
2011,3,2,0,0,,1126927,,,
2012,3,1,0,0,,1126927,,,
2013,3,1,0,0,,1126927,,,
2014,3,1,0,0,,1126927,,,
2015,3,1,0,0,,1126927,,,
2016,3,1,0,1,3,1126927,,,
2017,3,1,0,0,,1126927,,,
2008,2,2,1,1,1,1129116,,,
2009,3,2,1,1,2,1129116,,,
2010,3,1,1,1,3,1129116,,,
2011,3,1,1,0,,1129116,,,
2012,3,1,1,1,4,1129116,,,
2013,3,1,1,1,5,1129116,,,
2014,3,1,1,0,,1129116,,,
2015,3,1,1,1,6,1129116,,,
2016,3,1,1,1,7,1129116,,,
2017,3,1,1,1,8,1129116,,,
2002,0,2,4,1,1,1129326,,,
2003,0,3,5,1,2,1129326,,,
2004,0,2,3,0,,1129326,,,
2005,1,2,4,1,3,1129326,,,
2006,1,2,2,0,,1129326,,,
2003,0,1,2,1,1,1129574,,,
2004,0,3,2,0,,1129574,,,
2005,0,5,3,1,2,1129574,,,
2006,0,4,1,0,,1129574,,,
2007,1,2,2,1,1,1130234,,,
2008,1,2,2,0,,1130234,,,
2009,2,2,2,1,2,1130234,,,
2010,2,2,2,0,,1130234,,,
2011,3,2,0,1,3,1130234,,,
2013,0,3,2,1,1,1131123,,,
2014,0,3,2,0,,1131123,,,
2015,0,3,2,0,,1131123,,,
2016,0,3,0,0,,1131123,,,
2003,1,2,2,1,1,1131262,,,
2004,2,2,2,0,,1131262,,,
2005,1,2,3,1,2,1131262,,,
2006,1,2,3,0,,1131262,,,
2007,1,2,0,0,,1131262,,,
2003,0,4,4,1,1,1131272,,,
2004,0,4,5,1,2,1131272,,,
2005,0,4,5,0,,1131272,,,
2006,0,4,4,1,3,1131272,,,
2007,0,4,0,0,,1131272,,,
2006,1,1,1,1,1,1131434,,,
2007,1,1,1,0,,1131434,,,
2008,1,1,1,0,,1131434,,,
2009,1,1,1,0,,1131434,,,
2010,1,1,1,0,,1131434,,,
2005,2,2,2,1,1,1131629,,,
2006,2,1,2,0,,1131629,,,
2005,0,3,0,1,1,1131953,,,
2006,0,3,0,0,,1131953,,,
2007,0,3,0,0,,1131953,,,
2008,1,1,2,1,2,1131953,,,
2009,1,1,3,1,3,1131953,,,
2010,1,1,3,1,4,1131953,,,
2011,1,1,3,0,,1131953,,,
2012,1,1,3,0,,1131953,,,
2013,1,1,3,0,,1131953,,,
2014,1,1,3,0,,1131953,,,
2013,3,1,0,1,1,1132442,,,
2014,3,1,0,1,2,1132442,,,
2015,3,1,0,1,3,1132442,,,
2016,3,1,0,0,,1132442,,,
2017,3,1,0,1,4,1132442,,,
2004,2,2,3,1,1,1133462,,,
2005,2,2,3,0,,1133462,,,
2006,1,2,2,0,,1133462,,,
2003,2,2,1,1,1,1133575,,,
2004,2,2,1,0,,1133575,,,
2005,1,2,4,1,2,1133575,,,
2006,1,2,3,1,3,1133575,,,
2007,1,2,3,1,4,1133575,,,
2008,1,2,4,0,,1133575,,,
2009,1,2,3,0,,1133575,,,
2005,1,3,2,1,1,1133661,,,
2006,0,2,2,0,,1133661,,,
2007,0,2,3,1,2,1133661,,,
2008,0,2,3,0,,1133661,,,
2009,0,2,3,1,3,1133661,,,
2010,0,2,3,0,,1133661,,,
2011,0,2,4,0,,1133661,,,
2012,0,2,1,0,,1133661,,,
2002,0,1,2,1,1,1133743,,,
2003,0,1,3,0,,1133743,,,
2004,1,1,4,1,2,1133743,,,
2005,2,1,5,1,3,1133743,,,
2006,2,1,5,0,,1133743,,,
2007,2,0,3,0,,1133743,,,
2008,2,1,4,0,,1133743,,,
2009,2,2,4,0,,1133743,,,
2010,1,1,3,0,,1133743,,,
2011,0,3,0,0,,1133743,,,
2002,0,3,0,1,1,1134132,,,
2003,0,2,0,0,,1134132,,,
2004,0,2,0,0,,1134132,,,
2005,0,2,0,0,,1134132,,,
2006,0,2,0,0,,1134132,,,
2007,0,2,0,0,,1134132,,,
2002,0,2,3,1,1,1135655,,,
2003,0,2,4,1,2,1135655,,,
2004,0,4,4,0,,1135655,,,
2005,0,2,5,1,3,1135655,,,
2006,0,1,3,0,,1135655,,,
2007,0,1,3,1,4,1135655,,,
2008,0,1,4,1,5,1135655,,,
2009,0,0,4,0,,1135655,,,
2010,0,1,4,1,6,1135655,,,
2011,0,1,4,0,,1135655,,,
2012,0,1,4,0,,1135655,,,
2002,2,1,1,1,1,1136491,,,
2003,2,1,1,0,,1136491,,,
2004,3,1,1,0,,1136491,,,
2005,4,1,1,1,2,1136491,,,
2006,3,1,1,1,3,1136491,,,
2007,3,1,1,0,,1136491,,,
2008,3,2,1,0,,1136491,,,
2009,3,1,2,1,4,1136491,,,
2010,3,1,2,0,,1136491,,,
2011,3,1,2,0,,1136491,,,
2012,3,1,2,0,,1136491,,,
2005,1,2,2,1,1,1136887,,,
2006,1,2,3,1,2,1136887,,,
2007,1,2,3,1,3,1136887,,,
2004,1,1,3,1,1,1138056,,,
2005,1,1,3,0,,1138056,,,
2006,1,1,4,1,2,1138056,,,
2007,0,1,4,0,,1138056,,,
2008,0,1,4,0,,1138056,,,
2009,0,1,4,1,3,1138056,,,
2010,0,1,3,0,,1138056,,,
2011,0,1,3,0,,1138056,,,
2011,3,2,0,1,1,1138728,,,
2012,3,2,0,0,,1138728,,,
2013,3,2,1,1,2,1138728,,,
2014,3,2,1,1,3,1138728,,,
2015,3,2,1,0,,1138728,,,
2016,3,2,1,1,4,1138728,,,
2017,3,2,1,1,5,1138728,,,
2007,0,1,4,1,1,1138818,,,
2008,0,1,4,0,,1138818,,,
2009,0,1,4,1,2,1138818,,,
2010,0,1,4,1,3,1138818,,,
2011,0,1,3,1,4,1138818,,,
2012,0,1,3,0,,1138818,,,
2013,0,1,3,0,,1138818,,,
2002,0,4,0,1,1,1138973,,,
2003,0,2,0,0,,1138973,,,
2004,0,2,0,0,,1138973,,,
2005,0,2,0,0,,1138973,,,
2006,0,2,0,0,,1138973,,,
2007,0,2,0,0,,1138973,,,
2008,0,2,0,0,,1138973,,,
2009,0,2,0,0,,1138973,,,
2010,0,2,0,0,,1138973,,,
2011,0,2,0,0,,1138973,,,
2012,0,2,0,0,,1138973,,,
2013,0,2,0,0,,1138973,,,
2014,0,2,0,0,,1138973,,,
2015,0,2,0,0,,1138973,,,
2016,0,2,0,0,,1138973,,,
2003,1,0,2,1,1,1139129,,,
2004,1,0,2,0,,1139129,,,
2005,1,2,1,1,2,1139129,,,
2006,1,2,1,0,,1139129,,,
2007,1,2,1,0,,1139129,,,
2008,1,2,1,0,,1139129,,,
2009,1,2,1,0,,1139129,,,
2002,3,3,0,1,1,1139486,,,
2003,3,2,1,1,2,1139486,,,
2004,1,2,2,0,,1139486,,,
2004,3,3,2,1,1,1139735,,,
2005,1,3,4,1,2,1139735,,,
2006,1,3,0,0,,1139735,,,
2002,0,3,0,1,1,1139862,,,
2003,0,3,2,1,2,1139862,,,
2004,0,2,1,0,,1139862,,,
2005,0,2,2,1,3,1139862,,,
2006,1,2,1,0,,1139862,,,
2007,1,2,1,1,4,1139862,,,
2008,1,2,2,0,,1139862,,,
2009,1,3,2,0,,1139862,,,
2010,0,2,0,0,,1139862,,,
2002,4,3,4,1,1,1140380,,,
2003,3,1,3,0,,1140380,,,
2004,5,2,2,1,2,1140380,,,
2005,3,1,3,1,3,1140380,,,
2006,3,1,3,0,,1140380,,,
2007,3,1,1,0,,1140380,,,
2006,0,3,0,1,1,1141820,,,
2007,0,3,0,0,,1141820,,,
2008,0,3,0,0,,1141820,,,
2008,1,2,0,1,1,1141919,,,
2009,1,2,0,1,2,1141919,,,
2010,1,2,0,0,,1141919,,,
2011,1,2,0,0,,1141919,,,
2012,1,2,0,0,,1141919,,,
2013,1,2,0,1,3,1141919,,,
2014,1,2,0,0,,1141919,,,
2015,1,2,0,0,,1141919,,,
2004,1,2,0,1,1,1143515,,,
2005,1,2,0,0,,1143515,,,
2006,1,2,0,1,2,1143515,,,
2007,1,2,2,0,,1143515,,,
2008,1,2,2,0,,1143515,,,
2009,1,0,2,0,,1143515,,,
2010,2,0,2,0,,1143515,,,
2011,2,0,2,0,,1143515,,,
2012,2,0,2,0,,1143515,,,
2003,2,1,2,1,1,1143731,,,
2004,0,2,2,1,2,1143731,,,
2005,0,2,2,0,,1143731,,,
2006,1,1,3,1,3,1143731,,,
2007,2,1,2,0,,1143731,,,
2008,2,1,2,0,,1143731,,,
2009,2,1,2,1,4,1143731,,,
2010,2,1,2,0,,1143731,,,
2011,2,1,2,0,,1143731,,,
2012,2,1,2,0,,1143731,,,
2013,2,1,2,1,5,1143731,,,
2014,2,1,2,0,,1143731,,,
2015,2,1,2,0,,1143731,,,
2016,2,1,2,0,,1143731,,,
2017,2,1,3,1,6,1143731,,,
2005,2,3,1,1,1,1143764,,,
2006,2,1,1,0,,1143764,,,
2007,0,1,1,1,2,1143764,,,
2008,0,1,1,0,,1143764,,,
2009,0,1,1,0,,1143764,,,
2010,0,1,1,0,,1143764,,,
2011,0,1,1,1,3,1143764,,,
2012,1,1,2,1,4,1143764,,,
2013,1,1,2,0,,1143764,,,
2014,1,1,2,0,,1143764,,,
2015,1,1,1,0,,1143764,,,
2002,1,1,3,1,1,1144344,,,
2003,1,1,4,1,2,1144344,,,
2004,1,1,4,0,,1144344,,,
2005,1,1,5,1,3,1144344,,,
2006,2,1,5,1,4,1144344,,,
2007,2,1,5,0,,1144344,,,
2008,2,1,3,1,5,1144344,,,
2009,2,1,2,0,,1144344,,,
2010,2,1,2,1,6,1144344,,,
2011,2,1,2,1,7,1144344,,,
2012,2,1,2,0,,1144344,,,
2002,1,2,5,1,1,1144436,,,
2003,1,2,5,0,,1144436,,,
2004,1,2,5,0,,1144436,,,
2005,1,2,5,0,,1144436,,,
2006,0,1,5,0,,1144436,,,
2007,0,1,0,0,,1144436,,,
2002,0,1,3,1,1,1145009,,,
2003,0,1,3,0,,1145009,,,
2010,3,1,1,1,1,1145199,,,
2011,3,1,1,0,,1145199,,,
2012,1,1,2,1,2,1145199,,,
2013,1,1,2,1,3,1145199,,,
2014,1,1,2,0,,1145199,,,
2015,0,1,2,0,,1145199,,,
2016,0,2,3,1,4,1145199,,,
2017,0,2,3,0,,1145199,,,
2002,1,2,3,1,1,1145975,,,
2003,1,1,3,1,2,1145975,,,
2004,3,1,3,0,,1145975,,,
2005,3,1,0,0,,1145975,,,
2004,0,1,4,1,1,1156084,,,
2005,1,1,5,1,2,1156084,,,
2006,1,1,5,0,,1156084,,,
2007,1,0,2,1,3,1156084,,,
2009,3,1,0,1,1,1157175,,,
2010,1,1,1,0,,1157175,,,
2011,2,1,1,1,2,1157175,,,
2012,2,1,1,0,,1157175,,,
2013,0,3,2,1,3,1157175,,,
2014,0,2,3,1,4,1157175,,,
2015,0,2,3,1,5,1157175,,,
2016,0,2,3,0,,1157175,,,
2017,0,2,3,0,,1157175,,,
2003,3,4,2,1,1,1158401,,,
2004,1,4,2,0,,1158401,,,
2005,1,2,2,0,,1158401,,,
2006,1,2,4,1,2,1158401,,,
2007,1,2,3,1,3,1158401,,,
2008,1,1,3,0,,1158401,,,
2009,1,1,3,0,,1158401,,,
2010,1,1,3,1,4,1158401,,,
2011,1,1,3,1,5,1158401,,,
2012,1,1,3,0,,1158401,,,
2013,1,1,3,0,,1158401,,,
2014,2,1,4,1,6,1158401,,,
2015,2,1,4,0,,1158401,,,
2016,3,1,4,1,7,1158401,,,
2017,3,1,3,0,,1158401,,,
2008,1,3,3,1,1,1158555,,,
2009,1,2,3,0,,1158555,,,
2010,1,2,0,0,,1158555,,,
2003,0,4,2,1,1,1159362,,,
2004,1,1,0,0,,1159362,,,
2005,2,2,0,1,2,1159362,,,
